step,time_s,note,R1,R2,R3,R4,R5,R6,R7,R8
96,10.125,state after change,BBBBBMDBDMDDDDMD,BBBBBDDDDMDDDDM_,BBBBBMDDDDDDDBMD,MMMBMMBDBMDDBBMD,BBMBBDBBB_BBBB_B,BBMMMBBBBDBBBB_B,BBMMMBBBBDBBBDDB,________________
97,10.26,state after change,BBBBBMDBDMDDBDMD,BBBBBDDDDMDDDDM_,BBBBBMDDDDDDDBMD,MMMBMMBDBMDDBBMD,BBMBBDBBB_DBBB_B,BBMMMBBBBDBBBB_B,BBMMMBBBBDBBBDDB,________________
98,10.327,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDBMD,MMMMBMBDBMDDBBMD,BBBBB_BBB_DBBB_B,BBMBBBBBBDBBBB_B,BBMMBBBBBDBBBDDB,________________
99,10.395,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDDMD,MMBMBMBDBMDDBBMD,BBBBB_BDD_DBBB_B,BBBBBBBBBDBBBB_B,BBMMBBBBBDBBBDDB,________________
100,10.462,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDBMD,MMBBMMBDBMDDBBMD,BBBBB_BDB_DBBB_B,BBBBBBBBBDBBBD_B,BBMMMBBBBDBBBDDB,________________
101,10.53,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDMD,BBBBBMDDDDDDDBMD,MMBBMMBDBMDDDBMD,BBBBB_BDB_DBBB_B,BBBBBBBBBDBBBD_B,BBMMMBBBBDBBBDDB,________________
102,10.597,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDMD,BBBBBMDDDDDDDBMD,MMBBMMBDBMDDDBMD,BBBBBDBDB_DBBB_B,BBBBBDBBBDBBBD_B,BBMMMBBBBDBBBDDB,________________
103,10.665,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDMD,BBBBBMDDDDDDDBMD,MMBBBMMDBMDDDBMD,BBBBB_BDD_DDBB_B,BBBBBDBBBDBBBD_B,BBMMBBBBBDBBBDDB,________________
104,10.732,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDDMD,MMBBBMBMBMDDDBMD,BBBBB_BDD_DDBB_B,BBBBBDBBBDBBBD_B,BBMBBBBBBDBBBDDB,________________
105,10.867,state after change,BBBBBMDBDMDDBDMD,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDDMD,MMBBBMDDMMDDDBMD,BBBBB_BDB_DDBB_B,BBBBBDBBBDBBBD_B,BBMMBBBBBDBBBDDB,________________
106,10.935,state after change,BBBBBMDBDMDDDDMD,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDDMD,MMBBBMDDBMDDDBMD,BBBBB_DDD_DDDB_B,BBBBBDBBBDBBBD_B,BBMMBBBBBDBBBDDB,________________
107,11.002,state after change,BBBBBMDBDMDDDDMD,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDDMD,MMBBBMDDBMBDDBMD,BBBBB_DDD_DDDD_B,BBBBBDBBBDBBBD_B,BBMBBBBBBDBBBDDB,________________
108,11.07,state after change,BBBBBMDBDMDDDDM_,BBBBB_DDDMDDDDM_,BBBBBMDDDDDDDDMD,MMBBBMDDDMMDDBMD,BBBBB_DDD_DDDD_B,BBBBBDBBBDBBBD_B,BBMBBBBBBDBBBDDB,________________
109,11.137,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMDDDDM_,BBBBBM_DDDDDDDMD,MMBBBMDDDMDMDBMD,BBBBB_DDD_DDDD_D,BBBBBDBBDDBBBD_B,BBMBBBBBBDBBBDDB,________________
110,11.205,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMDDDDM_,BBBBBM_DDDDDDDMD,MMBBBMDDDMDMMBMD,BBBBB_DDD_DDDD_B,BBBBBDBBBDBBBD_B,BBMBBBBBBDBBBDDB,________________
111,11.272,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMDDDDB_,BBBBBM_DDDDDDDMD,MMBBBMDDDMDDMMMD,BBBBB_DDD_DDBD_B,BBBBBDBBBDBBBD_B,BBMBBBBBBDBBB_DB,________________
112,11.34,state after change,BBBBBMDBDMDDDDB_,BBBBD_DDDMDDDDB_,BBBBBM_DDDDDDDMD,MMBBBMDDDMDDDBMD,BBBBB_DDD_DDDD_B,BBBBBDBBBDBBBD_B,BBMBBBBBBDBBB_DB,________________
113,11.407,state after change,BBBBBMDBDMDDDDMD,BBBBD_DDDMDDDDM_,BBBBBM_DDDDDDDMD,MMBBBMDDDMDDDBMM,BBBBB_DDD_DDDD_B,BBBBBDBBBDBBBD_B,BBMBBBBBBDBBB_DB,________________
114,11.542,state after change,BBBBBMDBDMDDDDMD,BBBBD_DDDMDDDDM_,BBBBBM_DDDDDDDMD,MMBBBMDDDMDDDBMM,BBBBB_DDD_DDDD_B,BBBBBDBBBDBBBD_B,BBBBBBBBBDBBB__B,________________
115,11.61,state after change,BBBBBMDBDMDDDDMD,BBBBD_DDDMDDDDM_,BBBBBM_DDDDDDDMD,MMBBBMDDDMDDDBMD,BBBBB_DDD_DDDD_D,BBBBBDBBDDDBDD_B,BBBBBBBBBDBBBD_B,________________
116,11.677,state after change,BBBBBMDBDMDDDDM_,BBBBD_DDDMD_DDM_,BBBBBM_DD_D_DDMD,MMBBBMDDDMDDDBMD,BBBBB_DDD_DDDD_D,BBBBBDBBDDDDDD_B,BBBBBDBBBDBBBD_B,________________
